,Data Set,Module Refinement Method,Mean Relative Gain
0,gse73072_hrv_48_64_control,flag_median_1_1,-0.04145214190701674
0,gse73072_hrv_48_64_control,flag_median_1_2,-0.036890332587122675
0,gse73072_hrv_48_64_control,flag_median_2_1,-0.017845734979542893
0,gse73072_hrv_48_64_control,flag_median_2_2,0.003840300669612473
0,gse73072_hrv_48_64_control,flag_median_4_1,-0.021142130918866447
0,gse73072_hrv_48_64_control,flag_median_4_2,0.004726520283310931
0,gse73072_hrv_48_64_control,flag_median_8_1,-0.03684008088518783
0,gse73072_hrv_48_64_control,flag_median_8_2,-0.005891480642296498
0,gse73072_hrv_48_64_control,module_expression,-0.0301704996940992
0,gse73072_hrv_48_64_shedder48_64,eigengene_1,-0.035840760469224645
0,gse73072_hrv_48_64_shedder48_64,eigengene_2,-0.02754137564131942
0,gse73072_hrv_48_64_shedder48_64,eigengene_4,-0.03525394264307802
0,gse73072_hrv_48_64_shedder48_64,eigengene_8,-0.038937126069521794
0,gse73072_hrv_48_64_shedder48_64,flag_mean_1_1,-0.04077977051235493
0,gse73072_hrv_48_64_shedder48_64,flag_mean_1_2,-0.04154188041063428
0,gse73072_hrv_48_64_shedder48_64,flag_mean_2_1,-0.03789412156603189
0,gse73072_hrv_48_64_shedder48_64,flag_mean_2_2,0.0006938695294312236
0,gse73072_hrv_48_64_shedder48_64,flag_mean_4_1,-0.030987005668578982
0,gse73072_hrv_48_64_shedder48_64,flag_mean_4_2,0.002737108499563723
0,gse73072_hrv_48_64_shedder48_64,flag_mean_8_1,-0.04559952031694832
0,gse73072_hrv_48_64_shedder48_64,flag_mean_8_2,-3.1277476950419824e-06
0,gse73072_hrv_48_64_shedder48_64,flag_median_1_1,-0.02976107966198327
0,gse73072_hrv_48_64_shedder48_64,flag_median_1_2,-0.032187530853434065
0,gse73072_hrv_48_64_shedder48_64,flag_median_2_1,-0.028285409572474867
0,gse73072_hrv_48_64_shedder48_64,flag_median_2_2,0.006187585081507585
0,gse73072_hrv_48_64_shedder48_64,flag_median_4_1,-0.021636901726846226
0,gse73072_hrv_48_64_shedder48_64,flag_median_4_2,0.0015077782773560643
0,gse73072_hrv_48_64_shedder48_64,flag_median_8_1,-0.03428396760181093
0,gse73072_hrv_48_64_shedder48_64,flag_median_8_2,0.0024739317383864366
0,gse73072_hrv_48_64_shedder48_64,module_expression,-0.04464041925408477
0,salmonella_Liver,eigengene_1,-0.1077332654478819
0,salmonella_Liver,eigengene_2,-0.061284512918988204
0,salmonella_Liver,eigengene_4,-0.0914402413591151
0,salmonella_Liver,eigengene_8,-0.10764565205155403
0,salmonella_Liver,flag_mean_1_1,-0.10766446457577161
0,salmonella_Liver,flag_mean_1_2,-0.1023393624623659
0,salmonella_Liver,flag_mean_2_1,-0.18390335050919315
0,salmonella_Liver,flag_mean_2_2,-0.02273695741797943
0,salmonella_Liver,flag_mean_4_1,-0.11086581572029108
0,salmonella_Liver,flag_mean_4_2,-0.012962779901493592
0,salmonella_Liver,flag_mean_8_1,-0.10197010055598306
0,salmonella_Liver,flag_mean_8_2,-7.384675741928248e-06
0,salmonella_Liver,flag_median_1_1,-0.11989312178105835
0,salmonella_Liver,flag_median_1_2,-0.09697176301250339
0,salmonella_Liver,flag_median_2_1,-0.1811019406087505
0,salmonella_Liver,flag_median_2_2,-0.02570558172075297
0,salmonella_Liver,flag_median_4_1,-0.15509707358072047
0,salmonella_Liver,flag_median_4_2,-0.03879038367077163
0,salmonella_Liver,flag_median_8_1,-0.14392463654192253
0,salmonella_Liver,flag_median_8_2,-0.01897744821927787
0,salmonella_Liver,module_expression,-0.0897894454809058
0,salmonella_Liver_susceptible,eigengene_1,0.7489456137821695
0,salmonella_Liver_susceptible,eigengene_2,0.8323953600320992
0,salmonella_Liver_susceptible,eigengene_4,0.40928320695594955
0,salmonella_Liver_susceptible,eigengene_8,-0.9680002047986893
0,salmonella_Liver_susceptible,flag_mean_1_1,0.7179460703257118
0,salmonella_Liver_susceptible,flag_mean_1_2,0.7523706755107653
0,salmonella_Liver_susceptible,flag_mean_2_1,
0,salmonella_Liver_susceptible,flag_mean_2_2,0.7770011663246379
0,salmonella_Liver_susceptible,flag_mean_4_1,0.6520696971034103
0,salmonella_Liver_susceptible,flag_mean_4_2,0.7890268684013697
0,salmonella_Liver_susceptible,flag_mean_8_1,-0.9240510174632027
0,salmonella_Liver_susceptible,flag_mean_8_2,-7.753290991585615e-06
0,salmonella_Liver_susceptible,flag_median_1_1,0.6931558398378473
0,salmonella_Liver_susceptible,flag_median_1_2,0.7492627329729757
0,salmonella_Liver_susceptible,flag_median_2_1,
0,salmonella_Liver_susceptible,flag_median_2_2,0.7650351751627588
0,salmonella_Liver_susceptible,flag_median_4_1,0.5914710837171282
0,salmonella_Liver_susceptible,flag_median_4_2,0.7445985042070009
0,salmonella_Liver_susceptible,flag_median_8_1,
0,salmonella_Liver_susceptible,flag_median_8_2,-0.5796234467896968
0,salmonella_Liver_susceptible,module_expression,0.6314386032650656
0,salmonella_Liver_tolerant,eigengene_1,-0.06270128563685858
0,salmonella_Liver_tolerant,eigengene_2,-0.06767663957951149
0,salmonella_Liver_tolerant,eigengene_4,-0.020822173865941318
0,salmonella_Liver_tolerant,eigengene_8,-0.023709855221267284
0,salmonella_Liver_tolerant,flag_mean_1_1,-0.22634824523644168
0,salmonella_Liver_tolerant,flag_mean_1_2,-0.20355066053014761
0,salmonella_Liver_tolerant,flag_mean_2_1,
0,salmonella_Liver_tolerant,flag_mean_2_2,-0.003921826969934261
0,salmonella_Liver_tolerant,flag_mean_4_1,-0.11712348019113372
0,salmonella_Liver_tolerant,flag_mean_4_2,-0.024729071640769873
0,salmonella_Liver_tolerant,flag_mean_8_1,-0.05101176326218926
0,salmonella_Liver_tolerant,flag_mean_8_2,-6.366030925112713e-06
0,salmonella_Liver_tolerant,flag_median_1_1,-0.22543010727042226
0,salmonella_Liver_tolerant,flag_median_1_2,-0.20743018656375733
0,salmonella_Liver_tolerant,flag_median_2_1,
0,salmonella_Liver_tolerant,flag_median_2_2,0.01708107509662486
0,salmonella_Liver_tolerant,flag_median_4_1,-0.07159775890542501
0,salmonella_Liver_tolerant,flag_median_4_2,-0.02086751305985975
0,salmonella_Liver_tolerant,flag_median_8_1,-0.037972921640109424
0,salmonella_Liver_tolerant,flag_median_8_2,-0.029459475132394775
0,salmonella_Liver_tolerant,module_expression,-0.20644682946583015
