,Mean Relative Gain,Std Relative Gain,Center Dimension,Data Dimension,Prototype,Data Set
0,-0.12112769235361809,0.04148722195830066,2,2,flag_mean,gse73072_hrv_48_64_True
0,0.6983390620518165,0.15568202026398345,4,1,flag_mean,gse73072_hrv_48_64_True
0,-0.08886915987202738,0.037779760486276626,4,2,flag_mean,gse73072_hrv_48_64_True
0,0.7422492107680412,0.10431478624165554,8,1,flag_mean,gse73072_hrv_48_64_True
0,-3.995406916423861e-09,5.635828966006553e-10,8,2,flag_mean,gse73072_hrv_48_64_True
0,0.6836094598393954,0.0,1,1,flag_median,gse73072_hrv_48_64_True
0,0.6357736837621775,0.0,1,2,flag_median,gse73072_hrv_48_64_True
0,0.6854321560664562,0.11571733817734355,2,1,flag_median,gse73072_hrv_48_64_True
0,-0.12946806973754685,0.0497506281880667,2,2,flag_median,gse73072_hrv_48_64_True
0,0.6469138238315457,0.12194257635614636,4,1,flag_median,gse73072_hrv_48_64_True
0,-0.09757139735148736,0.04166682748936769,4,2,flag_median,gse73072_hrv_48_64_True
0,0.7017681769497266,0.0526413976055704,8,1,flag_median,gse73072_hrv_48_64_True
0,0.0005403881827900595,0.026495984531650838,8,2,flag_median,gse73072_hrv_48_64_True
0,1.6250455897932352,0.5201311093866355,1,1,module_expression,gse73072_hrv_48_64_True
0,1.3297574051790864,0.4710409717915801,1,1,eigengene,salmonella_Liver
0,1.4740020143220118,0.45756990211287674,2,1,eigengene,salmonella_Liver
0,1.491738708228387,0.624860710219848,4,1,eigengene,salmonella_Liver
0,1.3105802473202257,0.45020963335195546,8,1,eigengene,salmonella_Liver
0,1.7770238938645277,0.5230526253455656,1,1,flag_mean,salmonella_Liver
0,1.4886642306711697,0.6073328841550831,1,2,flag_mean,salmonella_Liver
0,1.3796853356538716,0.0038666842685728398,2,1,flag_mean,salmonella_Liver
0,-0.08790498027442528,0.09557445069382765,2,2,flag_mean,salmonella_Liver
0,1.7393018276294074,0.2964021030292694,4,1,flag_mean,salmonella_Liver
0,-0.08540898248869623,0.04854357751518692,4,2,flag_mean,salmonella_Liver
0,1.304762539529253,0.3585394176500798,8,1,flag_mean,salmonella_Liver
0,-1.0379054082854111e-08,1.4070536413025885e-09,8,2,flag_mean,salmonella_Liver
0,1.784041928004426,0.4984276294636864,1,1,flag_median,salmonella_Liver
0,1.5051656945186602,0.4609770955574485,1,2,flag_median,salmonella_Liver
0,1.931016930248979,0.5986609276306496,2,1,flag_median,salmonella_Liver
0,-0.051382540016112685,0.0869082315611775,2,2,flag_median,salmonella_Liver
0,1.6968549000323052,0.3626667024431736,4,1,flag_median,salmonella_Liver
0,-0.0310526952446859,0.026435715653300693,4,2,flag_median,salmonella_Liver
0,1.3383356076377138,0.46082135152888143,8,1,flag_median,salmonella_Liver
0,0.07059060447005691,0.05658480256031121,8,2,flag_median,salmonella_Liver
0,1.738669723500789,0.5857445393965678,1,1,module_expression,salmonella_Liver
0,0.1653856271433028,0.3231265346867349,1,1,eigengene,salmonella_Liver_susceptible
0,-0.054122442952467584,0.21789166871805482,2,1,eigengene,salmonella_Liver_susceptible
0,0.0366164303429638,0.2321226052500543,4,1,eigengene,salmonella_Liver_susceptible
0,5.639807352122021,0.0,8,1,eigengene,salmonella_Liver_susceptible
0,0.44081347366426327,0.3626803383981928,1,1,flag_mean,salmonella_Liver_susceptible
0,0.13222615705488971,0.294384291261016,1,2,flag_mean,salmonella_Liver_susceptible
0,,,2,1,flag_mean,salmonella_Liver_susceptible
0,-0.5980381284168208,0.09536646597058633,2,2,flag_mean,salmonella_Liver_susceptible
0,-0.14712913962686172,0.21494437623209742,4,1,flag_mean,salmonella_Liver_susceptible
0,-0.5362081371908065,0.10840185693801702,4,2,flag_mean,salmonella_Liver_susceptible
0,3.8898843964874095,0.0,8,1,flag_mean,salmonella_Liver_susceptible
0,-6.0074338392723804e-09,1.390791298293943e-09,8,2,flag_mean,salmonella_Liver_susceptible
0,0.47102788483273955,0.3475366586882111,1,1,flag_median,salmonella_Liver_susceptible
0,0.21116296163455023,0.3382966412949802,1,2,flag_median,salmonella_Liver_susceptible
0,,,2,1,flag_median,salmonella_Liver_susceptible
0,-0.6053206197205421,0.10743354330749114,2,2,flag_median,salmonella_Liver_susceptible
0,-0.11506302265179065,0.26084401961859643,4,1,flag_median,salmonella_Liver_susceptible
0,-0.49897155072003996,0.12168796684281945,4,2,flag_median,salmonella_Liver_susceptible
0,4.249753612366069,1.2153794895623737,8,1,flag_median,salmonella_Liver_susceptible
0,0.5322013544470824,0.38318340650712035,8,2,flag_median,salmonella_Liver_susceptible
0,0.6761709666539605,0.3215682201813536,1,1,module_expression,salmonella_Liver_susceptible
0,2.179474719611731,0.11978319067621324,1,1,eigengene,salmonella_Liver_tolerant
0,1.7230046434106825,0.14534082407288287,2,1,eigengene,salmonella_Liver_tolerant
0,1.463948105160321,0.08671045592449222,4,1,eigengene,salmonella_Liver_tolerant
0,1.2625813006715718,0.15365914746093856,8,1,eigengene,salmonella_Liver_tolerant
0,2.3958104832517257,0.20246369349837048,1,1,flag_mean,salmonella_Liver_tolerant
0,2.189445656074097,0.0624130165284872,1,2,flag_mean,salmonella_Liver_tolerant
0,,,2,1,flag_mean,salmonella_Liver_tolerant
0,-0.08210197099357247,0.026308974614200367,2,2,flag_mean,salmonella_Liver_tolerant
0,1.82769692181626,0.0,4,1,flag_mean,salmonella_Liver_tolerant
0,-0.0561588563710024,0.037349922037090845,4,2,flag_mean,salmonella_Liver_tolerant
0,1.3726754776181083,0.07547887337023995,8,1,flag_mean,salmonella_Liver_tolerant
0,-1.1817222533849758e-08,3.0590027132700446e-10,8,2,flag_mean,salmonella_Liver_tolerant
0,2.5369376902150553,0.13831190934554502,1,1,flag_median,salmonella_Liver_tolerant
0,2.2606340253649955,0.014581820136978209,1,2,flag_median,salmonella_Liver_tolerant
0,,,2,1,flag_median,salmonella_Liver_tolerant
0,-0.08469525753988126,0.014761983189762788,2,2,flag_median,salmonella_Liver_tolerant
0,1.6249695452601267,0.2622084950219214,4,1,flag_median,salmonella_Liver_tolerant
0,0.008212783177253167,0.08092313937112758,4,2,flag_median,salmonella_Liver_tolerant
0,1.169716891561136,0.1153910908267675,8,1,flag_median,salmonella_Liver_tolerant
0,0.07138183898209854,0.048840492133281045,8,2,flag_median,salmonella_Liver_tolerant
0,2.596675108839364,0.2223550338238135,1,1,module_expression,salmonella_Liver_tolerant
